сапогоу,сапогоу
водꙑ,водъі
вино,віно
Бѣ,бѣ
же,же
етеръ,етеръ
ц҃рь,црь
мѫжь,мѫжь
егоже,егоже
с҃нъ,снъ
болѣаше,болѣаше
въ,въ
каперънаоумѣ,каперънаоумѣ
слꙑшавъ,слъішавъ
ѣко,ѣко
и҃с,іс
приде,пріде
отъ,отъ
ꙇюдеѩ,іюдеѧ
въ,въ
галилеѭ,галілеѭ
ꙇде,іде
къ,къ
н҄емоу,немоу
ꙇ,і
мол҄ѣаше,молѣаше
і,і
да,да
сънидетъ,сънідетъ
ꙇ,і
цѣлитъ,цѣлітъ
с҃на,сна
его,его
бѣ,бѣ
бо,бо
оумираѩ,оуміраѧ
рече,рече
же,же
къ,къ
н҄емоу,немоу
и҃с,іс
аште,аште
знамени,знамені
ꙇ,і
чюдесъ,чоудесъ
не,не
видите,відіте
не,не
ꙇмате,імате
вѣрꙑ,вѣръі
ѩти,ѧті
г҃ла,гла
къ,къ
н҄емоу,немоу
ц҃рь,црь
мѫжь,мѫжь
г҃и,гі
съниди,съніді
прѣжде,прѣжде
даже,даже
не,не
оумьретъ,оумьретъ
отрочѧ,отрочѧ
мое,мое
г҃ла,гла
къ,къ
н҄емоу,немоу
и҃с,іс
ꙇди,іді
с҃нъ,снъ
твои,твоі
живъ,жівъ
естъ,естъ
ꙇ,і
вѣрѫ,вѣрѫ
ꙇмъ,імъ
ч҃къ,чкъ
словеси,словесі
еже,еже
рече,рече
емоу,емоу
и҃с,іс
ꙇдѣаше,ідѣаше
абье,абье
же,же
съходѧштю,съходѧштоу
емоу,емоу
се,се
раби,рабі
его,его
сърѣтѫ,сърѣтѫ
і,і
г҃л҄ѭште,глѭште
ѣко,ѣко
с҃нъ,снъ
твои,твоі
живъ,жівъ
естъ,естъ
въпрашааше,въпрашааше
же,же
часа,часа
отъ,отъ
н҄ихъ,ніхъ
въ,въ
которꙑ,которъі
соулѣе,соулѣе
емоу,емоу
бꙑстъ,бъістъ
рѣшѧ,рѣшѧ
же,же
емоу,емоу
ѣко,ѣко
вьчера,вьчера
въ,въ
часъ,часъ
седмꙑ,седмъі
остави,оставі
огнь,огнь
разоумѣ,разоумѣ
же,же
о҃ць,оць
ѣко,ѣко
тъ,тъ
бѣ,бѣ
часъ,часъ
въ,въ
н҄ьже,ньже
рече,рече
емоу,емоу
и҃с,іс
с҃нъ,снъ
твои,твоі
живъ,жівъ
естъ,естъ
ꙇ,і
вѣрова,вѣрова
самъ,самъ
ꙇ,і
домъ,домъ
его,его
вьсь,вьсь
се,се
пакꙑ,пакъі
въторое,въторое
чюдо,чоудо
сътвори,сътворі
и҃с,іс
пришьдъ,прішьдъ
въ,въ
галилеѭ,галілеѭ
По,по
сихъ,сіхъ
же,же
бѣ,бѣ
праздьникъ,праздьнікъ
ꙇюдеꙇскъ,іюдеіскъ
ꙇ,і
вьзиде,вьзіде
и҃с,іс
въ,въ
е҃лмъ,елмъ
естъ,естъ
же,же
въ,въ
е҃рмѣхъ,ермѣхъ
на,на
овьчи,овьчі
кѫпѣли,кѫпѣлі
ѣже,ѣже
нарицаетъ,наріцаетъ
сѧ,сѧ
евреꙇскꙑ,евреіскъі
фезда,фезда
пѧть,пѧть
притворъ,прітворъ
ꙇмѫшти,імѫшті
