912,поѣхати,V-,2
913,вълга,Ne,1
914,поле,Nb,5
915,потъкнути,V-,1
916,подъ,R-,2
917,ръвъ,Nb,1
918,наломити,V-,1
919,смольньскъ,Ne,4
920,зьрѣемо,Nb,2
921,смядина,Ne,2
922,корабльць,Nb,2
923,передъслава,Ne,1
924,присълати,V-,2
925,ходити,V-,20
926,умрѣти,V-,14
927,възъпити,V-,2
928,плачь,Nb,10
929,стенати,V-,2
930,сѣтование,Nb,1
931,сѣтовати,V-,1
932,тужити,V-,2
933,отъчаяти,V-,2
934,пагуба,Nb,2
935,уне,Df,3
936,неже,Df,3
937,уединеныи,A-,1
938,усиреныи,A-,1
939,пожити,V-,6
940,ангельскыи,A-,4
941,селикыи,A-,1
942,състичи,V-,1
943,умиленыи,A-,2
944,очужити,V-,1
945,уполучити,V-,1
946,дьрзновение,Nb,4
947,уныние,Nb,2
948,прѣльстьныи,A-,1
949,омачати,V-,1
950,призывати,V-,10
951,приспѣти,V-,4
952,вънезаапу,Df,3
953,слуга,Nb,4
954,немилостивыи,A-,1
955,кръвопиица,Nb,1
956,братоненавидьникъ,Nb,2
957,лютыи,A-,3
958,сверѣпыи,A-,2
959,звѣрь,Nb,3
960,изимати,V-,1
961,сърѣсти,V-,5
962,устие,Nb,1
963,възрадовати,V-,7
964,омрачати,V-,1
965,грети,V-,1
966,цѣлование,Nb,1
967,равьно,Df,1
968,плути,V-,1
969,скакати,V-,1
970,лодья,Nb,1
971,обънажити,V-,2
972,бльщати,V-,1
973,вода,Nb,14
974,весло,Nb,1
975,испасти,V-,1
976,омьртвѣти,V-,1
977,разумѣти,V-,18
978,умывати,V-,2
979,съкрушити,V-,4
980,утьрпати,V-,1
981,брѣщи,V-,2
982,обида,Nb,3
983,вести,V-,5
984,помиловати,V-,4
985,пожати,V-,1
986,съзьрѣти#2,V-,2
987,класъ,Nb,1
988,млѣко,Nb,1
989,безълобие,Nb,1
990,носити,V-,10
991,порѣзати,V-,1
992,лоза,Nb,1
993,възрасти,V-,4
994,плодъ,Nb,2
995,убояти,V-,5
996,апостольскыи,A-,1
997,зълобие,Nb,2
998,младеньствовати,V-,2
999,сырорѣзание,Nb,1
1000,съвѣдѣтельствовати,V-,2
1001,жалити,V-,5
1002,постыдити,V-,1
1003,въсхытити,V-,1
1004,вънимати,V-,2
1005,старѣишина,Nb,5
1006,поспѣшитель,Nb,1
1007,разлучати,V-,1
1008,нужа,Nb,3
1009,приклонити,V-,1
1010,ухо,Nb,4
1011,приключити,V-,1
1012,вина,Nb,4
1013,закалати,V-,2
1014,вънушити,V-,1
1015,послушати,V-,18
1016,рѣка,Nb,2
1017,никътоже,Px,27
1018,обьщии,A-,1
1019,прѣстояти,V-,1
1020,колѣно,Nb,5
1021,прѣмълчати,V-,1
1022,которыи,Pi,1
1023,съвѣдѣти,V-,4
1024,другъ,Nb,1
1025,умьртвити,V-,1
1026,тьрпѣние,Nb,4
1027,присьно,Df,11
1028,измълкнути,V-,1
1029,гъртань,Nb,1
1030,горясѣръ,Ne,1
1031,зарѣзати,V-,1
1032,поваръ,Nb,1
1033,гълѣбовъ,A-,1
1034,търчинъ,Ne,1
1035,изъяти,V-,2
1036,ножь,Nb,1
1037,яти,V-,14
1038,заклати,V-,2
1039,агня,Nb,1
1040,непорочьныи,A-,5
1041,безълобивыи,A-,1
1042,сентябрь,Nb,1
1043,понедѣльникъ,Nb,1
1044,жьртва,Nb,1
1045,благовоньныи,A-,1
1046,възити,V-,3
1047,обитель,Nb,1
1048,желати,V-,1
1049,въжелѣти,V-,1
1050,неизреченьныи,A-,1
1051,давыдъ,Ne,4
1052,адъ,Nb,1
1053,забывати,V-,2
1054,съвлѣщи,V-,1
1055,напрящи,V-,1
1056,лукъ,Nb,2
1057,погыбнути,V-,1
1058,възнести,V-,1
1059,събыти,V-,2
1060,псалъмопѣвьць,Nb,1
1061,хвалити,V-,3
1062,сильныи,A-,4
1063,зълоба,Nb,3
1064,благостыни,Nb,2
1065,потопьныи,A-,1
1066,льстивыи,A-,1
1067,раздрушити,V-,1
1068,въстьргнути,V-,1
1069,прѣселити,V-,6
1070,село,Nb,12
1071,коря,Nb,2
1072,поврѣщи,V-,2
1073,пустыи,A-,3
1074,колода,Nb,1
1075,оставляти,V-,2
1076,хранити,V-,1
1077,кость,Nb,2
1078,лежати,V-,7
1079,дългыи,A-,1
1080,невѣдѣние,Nb,1
1081,небрѣжение,Nb,1
1082,отъинудь,Df,2
1083,прѣбыти,V-,11
1084,неврѣженыи,A-,1
1085,показати,V-,10
1086,овъгда,Df,10
1087,стълпъ,Nb,4
1088,огньныи,A-,3
1089,свѣща,Nb,7
1090,пѣние,Nb,15
1091,гость,Nb,1
1092,ловъ,Nb,1
1093,пасти#2,V-,4
1094,възискание,Nb,3
1095,доньдеже,G-,23
1096,двигнути,V-,1
1097,братоубиица,Nb,2
1098,брань,Nb,7
1099,мъногыи,Nb,79
1100,съставити,V-,5
1101,вьсегда,Df,9
1102,пособие,Nb,2
1103,поспешѣние,Nb,1
1104,побѣдити,V-,9
1105,посрамити,V-,3
1106,възвращати,V-,3
1107,въздѣти,V-,2
1108,въпити,V-,3
1109,авелевъ,A-,2
1110,мьстити,V-,2
1111,трясение,Nb,1
1112,еи,I-,3
