Кьнігъі|| 
р҃одства|| 
и҃ѹ҃хва|| · 
съӡиждѫ|| · 
Ӣ|| 
съберѫ|| 
тоу|| 
въсѣ|| 
жита|| 
моѣ̄|| · 
ӣ|| 
доброе̄|| 
мое̄|| · 
ӣ|| 
рекѫ|| 
д҃ши|| 
мое̄ӣ|| 
д҃ше|| · 
Ӣмаші|| 
мно̄го|| 
добро|| · 
лежѧщи|| 
на|| 
лѣта|| 
мн̄ога|| 
почіваӣ|| · 
ѣ̄ждъ|| 
піӣ|| 
ӣ|| 
веселі|| 
сѧ|| · 
Рече|| 
же|| 
е̄моу|| 
б҃ъ|| · 
беӡоумьне|| · 
Въ|| 
сіѭ̄|| 
нощь|| 
д҃шѫ|| 
твоѭ̄|| 
ӣстѧѕаѭ̄тъ|| 
от҃|| 
тебе|| · 
а̄|| 
ѣ̄же|| 
о̄уготова|| 
комоу|| 
бѫдѫтъ|| · 
Тако|| ·:· 
вьсѣкь|| 
сьбіраѧ̄ӣ|| 
въ|| 
себѣ|| · 
а̄|| 
не|| 
вь|| 
б҃ъ|| 
богатѣѧ̄ӣ|| · 
Се|| 
г҃лѧ|| 
въӡгласи|| · 
Ӣмѣѧ̄ӣ|| 
о̄уши|| 
слъішаті|| 
да|| 
слъішітъ|| ·· · - 
Не|| 
бо᾽и|| 
сѧ|| 
малое|| 
стадо|| · 
ѣ̄ко|| 
благоӣӡволі|| 
᾽҃оць|| 
вашъ|| · 
даті|| 
вамъ|| 
ц҃рствіе̄|| · 
продадіте|| 
ӣмѣніѣ̄|| 
ваша|| · 
ӣ|| 
дадіте|| 
мілостъинѭ|| · 
Сътворіте|| 
себѣ|| · 
вълагаліща|| 
не|| 
тьлѣѭ̄ща|| · 
ськровіще|| 
не|| 
о̄скѫдѣѭ̄ще᾽е|| 
на|| 
н҃бсхъ|| · 
Ӣдеже|| 
тать|| 
не|| 
прібліжае̄тъ|| 
сѧ|| · 
ні|| 
тьлѣ|| 
тьлитъ|| · 
ӣдеже|| 
бо|| 
е̄|| 
ськровіще|| 
ваше|| · 
тоу|| 
ӣ|| 
с҃рдца|| 
ваша|| 
бѫдѫтъ|| · 
Бѫдѫ|| 
чрѣсла|| 
ваша|| 
прѣпоѣ̄сана|| · 
ӣ|| 
свѣтільніці|| 
горѫще|| · 
ӣ|| 
въі|| 
подобьнъи|| 
ч҃лкмъ|| · 
чаѭ̄щемъ|| 
г҃а|| 
свое̄го|| · 
когда|| 
въӡвратитъ|| 
сѧ|| 
о̄тъ|| 
бракь|| · 
да|| 
пришедъшоу|| 
ӣ|| 
тлъкнѫвъшоу|| 
а̄бие̄|| 
᾽отвръӡѫтъ|| 
е̄моу|| · 
ӣ|| 
блажені|| 
рабі|| 
ті|| · 
ѧ̄же|| 
г҃ь|| 
о̄брѧщетъ|| 
бьдѧщѧ|| · 
῾Амин҃|| 
г҃лѭ|| 
вамъ|| · 
Ѣ̄ко|| 
поѣ̄шетъ|| 
сѧ|| · 
ӣ|| 
посадитъ|| 
ѧ̄|| · 
ӣ|| 
мінѫвъ|| 
посло̄ужітъ|| 
ӣмъ|| · 
любо|| 
въ|| 
въторѫѭ̄|| 
любо|| 
въ|| 
третіѭ̄|| 
стражѫ|| 
прідетъ|| · 
ӣ|| 
о̄брѧштетъ|| 
тако|| · 
блажени|| 
рабі|| 
ти|| · 
Се|| 
же|| 
вѣдіте|| · 
ѣ̄ко|| 
а̄ще|| 
бі|| 
вѣдѣ|| 
г҃нъ|| 
храминъі|| · 
Въ|| 
къ|| 
час҃|| 
тать|| 
прідет|| · 
бьдѣлъ|| 
о̄убо|| 
би|| · 
ӣ|| 
не|| 
бі|| 
далъ|| 
подьръіті|| 
домо̄у|| 
свое̄го|| · 
ӣ|| 
въи|| 
бѫдѣте|| 
готові|| · 
ѣ̄ко|| 
въ|| 
ньже|| 
час|| 
не|| 
мъніте|| · 
с҃нъ|| 
ч҃лчь|| 
прідетъ|| ·· - 
бѣ|| 
о̄учѧ|| 
ӣс҃ъ|| 
на|| 
е̄діном|| · 
о̄тъ|| 
сон[ь]мищь|| · 
въ|| 
сѫботъі|| · 
ӣ|| 
се|| 
жена|| 
д҃хъ|| 
ӣмѫщи|| · 
недѫженъ|| 
ѕ҃і̆те̅|| 
лѣт҃|| · 
᾽и|| 
бѣ|| 
слѫка|| · 
не|| 
могѫщи|| 
въскл̄оніті|| 
сѧ|| 
ѡ҃҃тъ|| 
нѫдь|| · 
о̄уӡьрѣвь|| 
же|| 
ѭ̄|| 
ӣс҃ъ·|| 
прігласі|| · 
и|| 
рече|| 
е̄ӣ|| · 
же̄н̄о|| · 
Ѡп̄̄оущена|| 
е̄сі|| 
ѡ̄̄тъ|| 
недѫга|| 
твое̄го|| · 
Ӣ|| 
вьӡложи|| 
на|| 
нѭ|| 
рѫцѣ|| · 
ӣ|| 
а̄бие̄|| 
прострѣтъ|| 
сѧ|| · 
ӣ|| 
славлѣа̄ше|| 
б҃а|| 
Ѡт̄̄ъвѣштав|| 
же|| 
соуна̄го̄гь|| · 
негодоуѧ̄|| · 
ӡане|| 
въ|| 
сѫботѫ|| 
ӣцѣлі|| 
ѭ̄|| 
ӣс҃ъ|| · 
г҃лаа̄ше|| 
народоу|| · 
шесть|| 
дьніӣ|| 
е̄сть|| 
въ|| 
нѧже|| 
достоӣтъ|| 
дѣлаті|| 
Въ|| 
тъи|| 
о̄убо|| 
приходѧще|| 
цѣліт᾽е|| 
сѧ|| · 
А̄|| 
не|| 
въ|| 
день|| 
сѫботънъ̄і|| · 
Ѡт̄̄ъвѣштавъ|| 
же|| 
е̄моу|| 
г҃ь|| 
рече|| · 
лицемѣрі|| · 
кождо|| 
васъ|| · 
Вь|| 
сѫботѫ|| · 
не|| 
о̄трѣшаетъ|| 
лі|| 
волоу|| 
сво҃е̄го|| · 
лі|| 
о̄сьла|| 
о̄тъ|| 
ѣ̄сліӣ|| · 
᾽и|| 
ведетъ|| 
напаѣ̄т|| · 
Сіѭ̄|| 
же|| 
дьщерь|| 
а̄враа̄мл҃᾽ѭ|| 
сѫщѫ|| · 
ѭ̄же|| 
съвѧӡа|| 
сотона|| · 
се|| 
о̄с̄мое̄|| 
на|| 
десѧте|| 
лѣто|| · 
не|| 
достоѣ̄᾽аше̄|| 
ли|| 
раӡдр̄ѣшіті|| 
е̄|| 
ѧ̄|| 
ѡ̄̄тъ|| 
ѫ̄ӡъи|| 
се|| 
ѧ̄|| · 
въ|| 
день|| 
сѫботънъі|| · 
Ӣ|| 
си|| 
г҃лщоу|| 
е̄моу|| · 
стъидѣа̄хѫ|| 
сѧ|| 
вьсі|| 
протівлѣщі᾽и|| 
сѧ|| 
е̄моу|| · 
᾽и|| 
въсі|| 
л᾽юдіе̄|| · 
радоваа̄хѫ|| 
сѧ|| · 
о̄|| 
въсѣхъ|| 
славьнъіхъ|| 
бъіваѭ̄щиӣхъ|| 
о̄тъ|| 
нег҃о҃|| ·· - 
п̄одобьно|| 
е̄стъ|| 
ц҃рьство|| 
н҃бсъно᾽е|| 
ӡрьноу|| · 
гороушъноу|| · 
Е̄же|| 
пріемъ|| 
ч̄лк̄ь|| · 
въвръже|| 
въ|| 
врътоград|| 
своӣ|| · 
ӣ|| 
въст̄расте|| 
ӣ|| 
бъис҃|| 
въ|| 
дрѣво|| 
велие̄|| · 
ӣ|| 
птіцѧ|| 
н҃бснъіѧ̄|| 
въселішѧ|| 
сѧ|| 
въ|| 
вѣтві|| 
е̄го|| · 
῾И|| 
пакъі|| 
рече|| · 
комоу|| 
о̄уподобл̄ѭ|| 
ц҃рствие̄|| 
б҃жіе|| · 
Подобьно|| 
е̄стъ|| 
к̄|| 
в̄асоу|| · 
і̄же|| 
прие̄мъші|| 
жена|| · 
съкръі|| 
въ|| 
мѫ̄цѣ|| 
трі̄|| 
сат̄ъ|| · 
доӣдеже|| 
въскъісѫ|| 
вь̄сѣ|| · 
Ӣ|| 
прохождаа̄ше|| 
ск̄оӡѣ|| 
градъи|| 
и|| 
въсі|| · 
о̄учѧ̄|| · 
ӣ|| 
шествіе̄|| 
творѧ|| 
въ|| 
е̄рл҃мъ|| · 
Рече|| 
же|| 
е̄моу|| 
е̄теръ|| · 
Г҃и|| 
а̄ште|| 
мало|| 
естъ|| 
с҃псаѭ̄щиӣхъ|| 
сѧ|| · 
О̄нъ|| 
же|| 
рече|| 
кь|| 
немоу|| · 
Подв̄іѕаӣте|| 
сѧ|| 
въниті|| 
скоӡѣ|| 
тѣсьнаѣ̄|| 
врата҃|| · 
ѣ̄ко|| 
мн̄оѕі|| 
г҃лѭ|| 
вамъ|| · 
въӡиштѫтъ|| 
въниті|| · 
ӣ|| 
не|| 
въӡмо҃гѫтъ|| · 
Ѡт̄̄ъ|| 
нелі|| 
о̄убо|| 
въстанетъ|| 
г҃днъ|| 
домоу|| · 
ӣ|| 
ӡатворітъ|| 
д᾽вьрі|| · 
ӣ|| 
начьнете|| 
вънѣ|| 
стоѣті|| · 
ӣ|| 
тлѣщі|| 
въ|| 
двьрі|| 
г҃лще|| · 
г҃и|| 
г҃и|| 
о̄твръӡі|| 
намъ|| · 
ӣ|| 
о̄тъвѣщ{т}ав|| 
рече{че}тъ|| 
вам|| · 
не|| 
вѣмъ|| 
васъ|| 
о̄тъ|| 
кѫдоу|| 
е̄ст̄е|| · 
Тогда|| 
начьнете|| 
г҃латі|| · 
ѣ̄хомъ|| 
прѣдъ|| 
тобоѭ̄|| 
ӣ|| 
піхомъ|| · 
ӣ|| 
на|| 
распѫтіӣх|| 
нашихъ|| 
о̄учілнъі|| 
е̄сі|| · 
ӣ|| 
рече|| 
тъ|| 
г҃лѭ|| 
вамъ|| · 
не|| 
вѣмъ|| 
вас|| 
от҃|| 
кѫдѣ|| 
е̄сте|| · 
Ѡт̄̄ъстѫпіте|| 
о̄тъ|| 
мене|| · 
въсі|| 
дѣлате҃ле|| 
неправъдѣ|| · 
тоу|| 
бѫдетъ|| 
плачь|| 
ӣ|| 
скрьжьтъ|| 
ӡѫбомъ|| · 
Е̄гда|| 
о̄уӡьрите|| 
а̄враа̄ма|| · 
ӣ|| 
ӣсаа̄ка|| 
ӣѣ̄кова|| · 
ӣ|| 
въсѧ|| 
п҃рркъі|| · 
въ|| 
ц҃рствіӣ|| 
б҃҃жіӣ|| · 
Въи|| 
же|| 
ӣӡгонимъи|| 
вонъ|| · 
Ӣ|| 
придѫт|| 
ѡ̄тъ|| 
въстокь|| 
ӣ|| 
ӡападъ|| · 
ӣ|| 
сѣ̄вера|| 
ӣ|| 
юга|| · 
ӣ|| 
въӡлѧгѫт|| 
въ|| 
ц҃рствии|| 
б҃жіи|| ̄ 
вьниде|| 
ӣс҃ъ|| 
вь|| 
домъ|| 
е̄тера|| 
кьнѧѕа|| 
фарісеӣск̆а|| · 
въ|| 
сѫботъ|| 
ѣ̄стъ|| 
хлѣба|| · 
ӣ|| 
ті|| 
бѣа̄хѫ|| 
наӡіраѭ̄ще|| 
ӣ|| · 
Ӣ|| 
се|| 
ч҃лкь|| 
е̄теръ|| 
ӣмъи|| 
водънъіи|| 
трѫдь|| · 
ӣ|| 
бѣ|| 
прѣдь|| 
нимь|| · 
ӣ|| 
от҃вѣщавъ|| 
ӣсъ|| 
рече|| 
кь|| 
ӡаконьникомъ|| · 
ӣ|| 
фарісео̄мъ|| 
г҃лѧ|| · 
А̄ще|| 
достоӣтъ|| 
въ|| 
сѫботъ|| 
ӣцѣлиті|| 
ӣ|| · 
О̄ни|| 
же|| 
о̄умл҃ъчашѧ|| · 
ӣ|| 
пріѐмъі|| 
᾽и|| · 
ӣцѣль|| 
ӣ|| 
о̄тъпоусти|| 
і̄|| · 
Ӣ|| 
о̄тъвѣштав|| 
реч̄е|| · 
котораа̄го|| 
васъ|| 
о̄селъ|| 
ли|| 
волъ|| · 
въ|| 
стоуденець|| 
въпадетъ|| · 
ӣ|| 
а̄біе̄|| 
не|| 
ӣстръгнетъ|| 
лі|| 
е̄го|| 
въ|| 
день|| 
сѫботьнъиӣ|| · 
ӣ|| 
не|| 
въӡмогѫ|| 
о̄тъвѣщаті|| 
е̄моу|| · 
г҃ла|| 
же|| 
кь|| 
ӡьванъіӣмъ|| · 
прітьчѫ|| 
о̄бьдръжѧ|| · 
како|| 
прѣдъсѣданіѣ̄|| 
ӣӡбираа̄хѫ|| · 
г҃лѧ|| 
кь|| 
німъ|| · 
е̄гда|| 
ӡьванъ|| 
бѫдеші|| 
къімъ|| 
на|| 
бракь|| · 
не|| 
сѧди|| 
на|| 
прѣдьниӣм|| 
мѣстѣ|| · 
е̄да̄|| 
к᾽то|| · 
честьнѣ᾽и|| 
тебе|| 
бѫдетъ|| 
ӡьва҃нъіӣхъ|| · 
ӣ|| 
прішедъ|| 
ӡьвавъи҃|| 
тѧ|| 
ӣ|| 
᾽оного|| · 
речетъ|| 
ті|| · 
даждъ|| 
семоу|| 
мѣсто|| · 
ӣ|| 
тогда|| 
начьнеші|| 
съ|| 
стоудомъ|| 
послѣдьнее̄|| 
мѣсто|| 
дръжаті|| 
нъ|| 
е̄гда|| 
ӡьванъ|| 
бѫдеші|| · 
шед|| 
сѧді|| 
на|| 
послѣдьниӣмъ|| 
мѣстѣ|| · 
да|| 
е̄гда|| 
придетъ|| 
ӡьва҃въі᾽и|| 
тѧ|| · 
ӣ|| 
речетъ|| 
ті|| 
дроуже|| 
посѧді|| 
въише|| · 
Тогда|| 
бѫде|| 
ті|| 
слава|| · 
прѣдъ|| 
вьсѣм|| 
ӣ|| 
сѣдѧщиӣмі|| 
съ|| 
тобоѭ̄|| · 
Ѣ̄ко|| 
вьсѣкь|| 
въӡносѧӣ|| 
сѧ|| 
сьмѣрітъ|| 
сѧ|| · 
Ӣ|| 
сьмѣрѣѧ̄ӣ|| 
сѧ|| ·:· 
самъ|| · 
въӡнесет|| 
сѧ|| ·· · - 
ч҃лкъ|| 
е̄теръ|| 
сьтворі|| 
вечерѭ|| 
веліѭ̄|| · 
ӣ|| 
ӡьва|| 
мьногъи|| · 
Ӣ|| 
посьла|| 
раба|| 
своего|| 
въ|| 
годъ|| 
вечерѧ|| · 
рещи|| 
ӡьванъіӣмъ|| · 
грѧдѣте|| 
ѣ̄ко|| 
о̄уже|| 
о̄уготована|| 
сѫтъ|| 
вьсѣ|| · 
῾И|| 
начѧшѧ|| 
въкоупь|| 
о̄търіцаті|| 
сѧ|| 
въсі|| · 
пръвъіӣ|| 
рече|| 
е̄моу|| · 
Село|| 
коупихъ|| · 
ӣ|| 
ӣмамъ|| 
нѫждѫ|| 
ӣӡиті|| 
ӣ|| 
видѣті|| 
е̄|| · 
Молѭ|| 
тѧ|| 
ӣмѣӣ|| 
мѧ|| 
о̄трочьна|| · 
Ӣ|| 
дроугъі|| 
рече|| 
᾽емоу|| · 
сѫпрѫгь|| 
воловънъиӣхъ|| 
коупихъ|| 
пѧть|| · 
ӣ|| 
грѧдѫ|| 
ӣскоуситъ|| 
ӣхъ|| · 
молѭ|| 
тѧ|| 
ӣмѣӣ|| 
мѧ|| 
о̄търочна|| · 
Ӣ|| 
дроугъі|| 
рече|| 
женѫ|| 
поѧ̄хъ|| · 
ӣ|| 
сего|| 
раді|| 
не|| 
мо҃гѫ|| 
приті|| · 
Ӣ|| 
пришедъ|| 
рабь|| 
ть|| 
повѣда|| 
г҃спдиноу|| · 
свое̄моу|| 
сіӣ|| · 
тогд̄а|| 
раӡ᾽гнѣвав|| 
сѧ|| 
г҃нъ|| 
домоу|| · 
рече|| 
рабоу|| 
свое̄моу|| · 
ӣӡіді|| 
скоро|| 
на|| 
распѫтіѣ̄|| · 
ӣ|| 
стьгнъи|| 
града|| · 
᾽и|| 
ніщѧѧ̄|| 
ӣ|| 
бѣдьнъіѧ̄|| · 
Ӣ|| 
хромъиѧ̄|| 
ӣ|| 
слѣпъіѧ̄|| 
въведі|| 
сѣмо|| · 
Ӣ|| 
рече̄|| 
рабь|| 
г҃дноу|| 
свое̄моу|| · 
бъіс҃|| 
е̄же|| 
повелѣ|| · 
Ӣ|| 
е̄ще|| 
мѣсто|| 
е̄стъ|| · 
Рече|| 
же|| 
г҃нъ|| 
рабоу|| · 
ӣӡіді|| 
на|| 
пѫти|| 
ӣ|| 
халѫгъи|| · 
ӣ|| 
о̄убѣді|| 
въниті|| · 
да|| 
наплънить|| 
сѧ|| 
домъ|| 
моӣ|| · 
Г҃лѭ|| 
бо|| 
вамъ|| · 
ѣ̄ко|| 
ни|| 
е̄дінъ|| 
же|| 
мѫжь|| 
тѣхъ|| 
ӡьванъіӣхъ|| · 
не|| 
въкоусітъ|| 
мое̄ѧ̄|| 
вечерѧ|| · 
мьноѕі|| 
бо|| 
сѫтъ|| 
ӡьваніӣ|| 
мало|| 
же|| 
ӣӡбьранъиӣх|| ·· · - 
Ч҃лкъ|| 
е̄теръ|| 
ӣмѣ|| 
дъва|| 
с҃҃нъі|| · 
Ӣ|| 
рече|| 
менъші|| 
с҃нъ|| 
о̄ц҃ю|| · 
Ѡ̄ч҃̄е|| 
даждъ|| 
мі|| 
достоӣнѫѭ̄|| 
чѧсть|| 
ӣмѣніѣ̄|| · 
Ӣ|| 
раӡдѣлі|| 
ӣма|| 
ӣмѣние̄|| · 
ӣ|| 
не|| 
по|| 
мноѕѣхъ|| 
дънехъ|| · 
сьбьра|| 
въ|| 
вьсе|| 
мьніӣ|| 
с҃нъ|| · 
О̄тиде|| 
на|| 
странѫ|| 
далече|| · 
Ӣ|| 
тоу|| 
съі|| 
расточи|| 
ӣмѣние̄|| 
свое̄|| 
жівъі|| 
блѫдъно|| · 
ӣждивъшоу|| 
же|| 
е̄моу|| 
вьсѣ|| · 
бъіс҃|| 
гладъ|| 
крѣпокъ|| 
на|| 
странѣ|| 
тоӣ|| · 
Ӣ|| 
тъ|| 
начѧтъ|| 
лішаті|| 
сѧ|| · 
ӣ|| 
шедъ|| 
прілѣпи|| 
сѧ|| 
е̄діномъ|| · 
ѡ̄тъ|| 
жітель|| 
странъі|| 
то҃ѧ̄|| · 
Ӣ|| 
посъла|| 
ӣ|| 
на|| 
села|| 
своѣ̄|| 
пастъ|| 
свиніӣ|| · 
ӣ|| 
желаа̄ше|| 
насъітіті|| 
сѧ|| · 
᾽ѡтъ|| 
рожець|| 
ѧ̄же|| 
ѣ̄дѣа̄хѫ|| 
свиніѧ̄|| · 
Ӣ|| 
нікт̄оже|| 
да᾽ѣаше|| 
е̄моу|| · 
Въ|| 
себѣ|| 
же|| 
пришедъ|| 
рече|| · 
Колікоу|| 
нае̄мънікъ|| 
о̄ц҃а|| 
мое̄го|| 
ӣӡбъиваѭ̄тъ|| 
хлѣбі|| · 
А̄ӡ|| 
же|| 
сьде|| 
гладомъ|| 
гъіблѭ̄|| · 
Въставъ|| 
ӣдѫ|| 
кь|| 
о̄ц҃ю|| · 
ӣ|| 
рекѫ|| 
е̄моу|| 
о̄ч҃е|| 
съгрѣшихъ|| 
на|| 
н҃бо|| 
ӣ|| 
прѣдъ|| 
тобоѭ̄|| · 
ю̄же|| 
не|| 
достоӣнъ|| 
е̄смъ|| 
нарещи|| 
сѧ|| 
с҃нъ|| 
тво҃᾽и|| · 
сътворі|| 
мѧ|| 
ѣ̄ко|| 
е̄діного|| 
ѡт҃|| 
нае҃мьнікь|| 
твоӣхъ|| · 
ӣ|| 
въставъ|| ·:· 
поӣде|| 
кь|| 
о̄ц҃ю|| 
свое̄моу|| · 
Е̄ште|| 
же|| 
е̄моу|| ·:· 
не|| 
дал̄ече|| 
сѫщоу|| · 
о̄уӡьрѣ|| 
ӣ|| 
о̄ц҃ь|| 
е̄го|| · 
ӣ|| 
милъ|| 
е̄моу|| 
бъис҃|| · 
ӣ|| 
текь|| 
нападе|| 
на|| 
въіѭ̄|| 
е̄го|| · 
ӣ|| 
о̄блобъіӡа|| 
ӣ|| · 
Рече|| 
е̄моу|| 
с҃нъ|| · 
Ѡ҃ч̄е|| 
съгрѣшихъ|| 
на|| 
н҃бо|| · 
ӣ|| 
прѣдъ|| 
тобоѭ̄|| · 
ю̄же|| 
нѣсм̄ъ|| 
достоӣнъ|| 
нарещи|| 
сѧ|| 
с҃нъ|| 
твоӣ|| · 
сътвори|| 
мѧ|| 
ѣ̄ко|| 
едіного|| 
ѡт҃|| 
наемънікь|| 
твоӣхъ|| · 
Рече|| 
же|| 
о̄ц҃ь|| 
е̄го|| 
кь|| 
рабомъ|| 
своӣм|| · 
скоро|| 
и҃ӡнесѣте|| 
о̄деждѫ|| 
пръвѫѭ̄|| 
ӣ|| 
о̄блѣцѣте|| 
и|| · 
ӣ|| 
дадите|| 
пръстень|| 
на|| 
рѫкѫ|| 
е̄го|| · 
ӣ|| 
сапогъі|| 
на|| 
ноѕѣ|| · 
Ӣ|| 
пріведьше|| 
телець|| 
о̄упітѣнъі|| 
ӡаколіте|| · 
ӣ|| 
ѣ̄дъше|| 
да|| 
въӡвеселімъ|| 
сѧ|| · 
Ѣ̄ко|| 
с҃нъ|| 
мо҃ӣ|| 
сь|| 
мрътвь|| 
бѣ|| 
ӣ|| 
о̄жіве|| · 
ӣӡгъиблъ|| 
бѣ|| · 
ӣ|| 
о̄бѣ|| 
ӣ|| 
о̄брѣте|| 
сѧ|| · 
ӣ|| 
начѧшѧ|| 
веселіті|| 
сѧ|| · 
бѣ|| 
же|| 
с҃нъ|| 
е̄го|| 
старѣӣ|| 
на|| 
селѣ|| · 
Ӣ|| 
а̄ко|| 
грѧдъі|| 
прібліжі|| 
сѧ|| 
кь|| 
домоу|| · 
слъиша|| 
пѣниѣ̄|| 
ӣ|| 
лікъі|| · 
ӣ|| 
приӡьвавъ|| 
е̄диного|| 
от҃|| 
᾽от̀рокъ|| · 
въпрашаа̄ше|| 
᾽и|| · 
чьто|| 
о̄убо|| 
сі|| 
сѫтъ|| · 
῾Онъ|| 
же|| 
рече|| 
е̄моу|| · 
братъ|| 
твоӣ|| 
пріде|| · 
ӣ|| 
ӡакьла|| 
о̄ц҃ъ|| 
тво᾽и|| 
телець|| 
о̄упитѣ᾽нъіӣ|| · 
ѣ̄ко|| 
съдрава|| 
ӣ|| 
приѧ̄тъ|| · 
Раӡг̄нѣвавъ|| 
же|| 
сѧ|| · 
не|| 
хотѣа̄ше|| 
въниті|| · 
О̄ц҃ъ|| 
же|| 
е̄го|| 
ӣшедъ|| · 
молѣа̄ше|| 
ӣ|| · 
О̄нъ|| 
же|| 
о̄тъвѣщавъ|| 
рече|| 
о̄ц҃ю|| 
свое̄моу|| · 
Се|| 
коліко|| 
лѣтъ|| 
работахь|| 
тебѣ|| · 
ӣ|| 
николіже|| 
ӡаповѣді|| 
твое̄᾽ѧ|| 
не|| 
прѣстѫпих҃|| · 
῾И|| 
мьнѣ|| 
ніколиже|| 
не|| 
далъ|| 
е̄сі|| 
ӣ|| 
коӡьлѧте|| · 
да|| 
съ|| 
дроугъи|| 
моӣмӣ|| 
въӡвеселілъ|| 
сѧ|| 
бімъ|| · 
Е̄гда|| 
же|| 
с҃нъ|| 
твоӣ|| 
сь|| · 
ӣӡѣдъ|| 
твое̄|| 
ӣмѣніе̄|| · 
съ|| 
любодѣӣцамі|| 
пріде|| · 
ӣ|| 
ӡакьлалъ|| 
е̄моу|| 
е̄сі|| 
телець|| 
пітомъ|| · 
О̄нъ|| 
же|| 
рече|| 
е̄моу|| · 
чѧ̄до|| · 
тъі|| 
въсегда|| 
съ|| 
мъноѭ̄|| 
е̄си|| · 
ӣ|| 
въсѣ|| 
моѣ̄|| 
твоѣ̄|| 
сѫтъ|| · 
въӡвеселіті|·:· | 
же|| 
сѧ|| 
ӣ|| 
въӡдрадовати|| 
подобаа̄ше|| · 
ѣ̄ко|| 
братъ|| 
твоӣ|| 
сь|| · 
мрътвъ|| 
бѣ|| 
ӣ|| 
о̄жіве|| · 
ӣӡгъіблъ|| 
бѣ|| · 
᾽и|| 
о̄брѣте|| 
сѧ|| ·· · - 
Вѣрн̄ъи|| 
въ|| 
малѣ|| 
ӣ|| 
въ|| 
мн̄оѕѣ|| 
вѣренъ|| 
е̄стъ|| · 
Ӣ|| 
неправедънъі|| 
въ|| 
малѣ|| 
ӣ|| 
въ|| 
мн̄оѕѣ|| 
не|| 
правъденъ|| 
е̄стъ|| · 
А̄ще|| 
о̄убо|| 
въ|| 
неправедьнѣмъ|| ·:· 
мамонѣ|| 
вѣрн̄и|| 
не|| 
бъісте|| · 
Въ|| 
ӣстінн̄ѣмъ|| · 
кьто|| 
вамъ|| 
вѣрѫ|| 
ӣметъ|| · 
Ӣ|| 
а̄ште|| 
въ|| 
тоуждемъ|| 
вѣрьни|| 
не|| 
бъісте|| · 
Ваше|| 
кьто|| 
дасть|| 
вамъ|| · 
Нікъиже|| 
бо|| 
рабь|| 
не|| 
мо̄жетъ|| 
дьвѣма|| 
г҃днома|| 
работаті|| · 
любо|| 
е̄діного|| 
вьӡенавидіт|| · 
а̄|| 
дроугаго|| 
въӡлюбитъ|| · 
Ли|| 
е̄діного|| 
дръжітъ|| 
сѧ|| · 
а̄|| 
᾽о|| 
дро̄уѕѣмъ|| 
не|| 
родіті|| 
начьнетъ|| · 
Не|| 
можете|| 
б҃оу|| 
работаті|| 
ӣ|| 
мам̄онѣ|| · 
Слъишаа̄хѫ|| 
же|| 
сі|| 
вс̄ѣ|| 
фарисеӣ|| · 
сьребролюбьці|| 
сѫще|| · 
ӣ|| 
подражаа̄хѫ|| 
ӣ|| · 
Ӣ|| 
рече|| 
ӣмъ|| · 
въи|| 
есте|| 
о̄правдаѭ̄щеӣ|| 
сѧ|| 
прѣдъ|| 
ч҃лкъі|| · 
б҃ъ|| 
же|| 
вѣстъ|| 
с҃рдца|| 
ваша|| · 
Ѣ̄ко|| 
е̄же|| 
е̄стъ|| 
въ|| 
ч҃лцѣхъ|| 
въісоко|| · 
мръӡость|| 
прѣд|| 
б҃мъ|| 
е̄стъ|| ·· · - 
Ч҃лкь|| 
᾽етеръ|| 
бѣ|| 
богатъ|| · 
Ӣ|| 
о̄блачаа̄ше|| 
сѧ|| 
въ|| 
порфірѫ|| 
ӣ|| 
въ|| 
вѹсь|| · 
веселѧ|| 
сѧ|| 
на|| 
въсѣкь|| 
день|| 
свѣтъло|| · 
О̄убогь|| 
же|| 
бѣ|| 
е̄теръ|| · 
ӣменем|| 
лаӡаръ|| · 
і̄же|| 
лежаа̄ше|| 
при|| 
вр҃атѣхъ|| 
е̄го|| 
г᾽ноӣӣнъ|| · 
ӣ|| 
желаа̄ше|| 
насъитити|| 
сѧ|| 
о̄тъ|| 
кроупиць|| · 
падаѭ̄щиӣхъ|| 
съ|| 
трапеӡъі|| 
богатаа̄го|| · 
нъ|| 
ӣ|| 
пс̆і|| 
приходѧще|| · 
о̄блиӡаа̄хѫ|| 
гноӣ|| 
е̄го|| · 
Бъис҃|| 
же|| 
о̄умрѣті|| 
нищоу᾽оумо҃у|| · 
ӣ|| 
несеноу|| 
бъити|| 
а̄н҃ђлъи|| 
на|| 
лоно|| · 
а̄враа̄мл҃е̄|| · 
о̄умр̄ѣтъ|| 
же|| 
и|| 
богатъи|| · 
ӣ|| 
погрѣсѧ|| 
᾽и|| 
въ|| 
᾽адѣ|| · 
ӣ|| 
въӡведъ|| 
о̄чі|| 
своӣ|| 
съи|| 
въ|| 
мѫкахъ|| · 
о̄уӡьрѣ|| 
а̄враа̄ма|| 
ӣӡ|| 
далече|| · 
ӣ|| 
лаӡара|| 
на|| 
лонѣ|| 
е̄го|| · 
Ӣ|| 
вьӡ᾽глашь|| 
рече|| · 
О̄ч҃е|| 
а̄враа̄ме|| 
помл҃оуӣ|| 
мѧ|| · 
ӣ|| 
посьлі|| 
ла᾽ӡа̄ра|| · 
Да|| 
о̄мочітъ|| 
конець|| 
пръста|| 
свое̄го|| 
